sample_id,subject_id,class_id,split
0,0,1,train
1,0,2,train
2,0,3,train
3,0,4,train
4,0,5,val
5,0,6,train
6,0,7,train
7,0,8,test
8,0,9,train
9,0,10,train
10,0,11,train
11,0,13,train
12,0,14,train
13,0,15,train
14,0,16,val
15,0,17,test
16,0,18,train
17,0,20,train
18,0,21,val
19,0,22,train
20,0,23,train
21,0,24,test
22,0,25,val
23,0,26,train
24,0,27,val
25,0,29,train
26,0,30,train
27,0,31,train
28,0,32,train
29,0,34,train
30,0,36,train
31,0,37,train
32,0,38,train
33,0,39,train
34,0,40,train
35,0,41,train
36,0,43,train
37,0,44,test
38,0,47,train
39,0,48,train
40,0,49,train
41,0,50,train
42,0,51,train
43,0,52,train
44,0,54,test
45,0,55,train
46,0,56,test
47,0,57,train
48,0,58,train
49,0,59,train
50,0,60,train
51,0,61,train
52,0,62,train
53,0,63,val
54,0,64,train
55,0,65,train
56,0,66,train
57,0,67,val
58,0,68,train
59,0,69,train
60,0,70,train
61,0,71,train
62,0,72,train
63,0,74,train
64,0,76,train
65,0,77,train
66,1,1,val
67,1,2,train
68,1,3,train
69,1,4,train
70,1,5,train
71,1,6,train
72,1,7,test
73,1,8,train
74,1,9,train
75,1,11,train
76,1,13,train
77,1,14,train
78,1,15,train
79,1,16,train
80,1,17,val
81,1,18,train
82,1,20,train
83,1,21,train
84,1,22,train
85,1,23,train
86,1,24,train
87,1,26,train
88,1,27,train
89,1,29,train
90,1,30,train
91,1,31,train
92,1,32,val
93,1,34,test
94,1,36,train
95,1,37,train
96,1,38,test
97,1,39,test
98,1,40,train
99,1,41,train
100,1,43,val
101,1,44,train
102,1,47,train
103,1,48,val
104,1,49,train
105,1,50,train
106,1,51,train
107,1,52,train
108,1,55,train
109,1,57,train
110,1,58,train
111,1,59,train
112,1,60,train
113,1,61,val
114,1,62,test
115,1,63,train
116,1,64,train
117,1,65,train
118,1,66,train
119,1,67,train
120,1,68,test
121,1,69,train
122,1,70,train
123,1,72,train
124,1,74,train
125,1,76,train
126,1,77,train
127,2,1,train
128,2,2,train
129,2,3,train
130,2,4,val
131,2,5,train
132,2,6,val
133,2,7,train
134,2,8,train
135,2,9,train
136,2,10,train
137,2,11,train
138,2,13,train
139,2,14,test
140,2,15,train
141,2,16,train
142,2,17,train
143,2,20,val
144,2,21,test
145,2,22,train
146,2,24,train
147,2,25,val
148,2,26,train
149,2,29,train
150,2,30,train
151,2,31,test
152,2,32,train
153,2,34,train
154,2,36,train
155,2,37,train
156,2,38,train
157,2,39,val
158,2,40,train
159,2,41,train
160,2,42,train
161,2,43,train
162,2,44,train
163,2,47,train
164,2,48,train
165,2,49,train
166,2,50,train
167,2,51,train
168,2,54,train
169,2,55,train
170,2,56,train
171,2,58,train
172,2,59,test
173,2,60,train
174,2,61,test
175,2,62,train
176,2,63,train
177,2,64,train
178,2,65,train
179,2,66,train
180,2,67,val
181,2,68,train
182,2,69,train
183,2,70,train
184,2,72,train
185,2,74,train
186,2,76,test
187,2,77,train
188,3,1,train
189,3,2,val
190,3,3,test
191,3,4,train
192,3,5,train
193,3,6,train
194,3,7,val
195,3,8,train
196,3,9,train
197,3,10,train
198,3,11,train
199,3,13,train
200,3,14,train
201,3,15,test
202,3,16,train
203,3,17,train
204,3,18,train
205,3,20,train
206,3,21,train
207,3,22,train
208,3,23,train
209,3,24,test
210,3,25,train
211,3,26,train
212,3,27,train
213,3,29,train
214,3,30,train
215,3,31,train
216,3,32,train
217,3,34,train
218,3,36,train
219,3,37,val
220,3,38,train
221,3,39,train
222,3,40,val
223,3,41,train
224,3,42,train
225,3,43,test
226,3,44,train
227,3,47,train
228,3,48,train
229,3,49,val
230,3,50,train
231,3,51,train
232,3,52,train
233,3,54,train
234,3,55,train
235,3,56,train
236,3,57,train
237,3,58,train
238,3,59,val
239,3,60,val
240,3,61,train
241,3,62,train
242,3,63,test
243,3,64,train
244,3,65,train
245,3,66,train
246,3,67,train
247,3,68,train
248,3,69,train
249,3,70,val
250,3,71,test
251,3,72,train
252,3,74,train
253,3,76,train
254,3,77,train
255,4,1,train
256,4,2,train
257,4,3,test
258,4,4,train
259,4,5,val
260,4,6,train
261,4,7,train
262,4,8,train
263,4,9,train
264,4,10,train
265,4,11,train
266,4,13,train
267,4,14,val
268,4,17,train
269,4,18,train
270,4,20,train
271,4,21,train
272,4,23,train
273,4,26,train
274,4,27,train
275,4,31,val
276,4,32,train
277,4,34,test
278,4,36,train
279,4,37,train
280,4,38,train
281,4,39,train
282,4,40,train
283,4,41,train
284,4,42,train
285,4,43,train
286,4,44,train
287,4,47,train
288,4,48,train
289,4,49,train
290,4,50,train
291,4,51,val
292,4,52,train
293,4,54,train
294,4,55,train
295,4,56,test
296,4,58,train
297,4,59,train
298,4,60,train
299,4,61,train
300,4,62,train
301,4,63,train
302,4,64,train
303,4,65,train
304,4,66,val
305,4,67,test
306,4,68,val
307,4,69,train
308,4,74,val
309,4,76,train
310,4,77,train
311,5,1,train
312,5,2,train
313,5,3,train
314,5,4,train
315,5,5,train
316,5,6,train
317,5,7,val
318,5,8,train
319,5,9,train
320,5,13,train
321,5,14,val
322,5,15,train
323,5,17,train
324,5,20,train
325,5,22,train
326,5,23,train
327,5,24,train
328,5,26,train
329,5,27,test
330,5,29,train
331,5,30,train
332,5,31,train
333,5,32,train
334,5,34,train
335,5,36,test
336,5,37,test
337,5,38,train
338,5,40,train
339,5,41,train
340,5,42,train
341,5,44,val
342,5,47,train
343,5,48,train
344,5,49,train
345,5,50,train
346,5,51,train
347,5,54,train
348,5,55,train
349,5,56,train
350,5,64,train
351,5,67,test
352,5,69,train
353,5,72,val
354,5,74,val
355,5,76,train
356,5,77,train
357,6,1,train
358,6,2,train
359,6,3,train
360,6,4,train
361,6,5,train
362,6,8,val
363,6,10,train
364,6,13,val
365,6,15,train
366,6,20,train
367,6,21,train
368,6,23,train
369,6,24,val
370,6,25,train
371,6,30,val
372,6,31,train
373,6,36,train
374,6,37,train
375,6,38,test
376,6,39,train
377,6,42,train
378,6,43,train
379,6,44,train
380,6,58,train
381,6,59,train
382,6,62,val
383,6,63,test
384,6,65,train
385,6,66,train
386,6,67,train
387,6,68,train
388,6,69,train
389,6,70,train
390,6,72,train
391,6,74,test
392,6,76,train
393,6,77,train
394,7,1,test
395,7,2,train
396,7,3,train
397,7,4,train
398,7,5,test
399,7,6,train
400,7,7,train
401,7,8,train
402,7,9,test
403,7,10,train
404,7,11,train
405,7,13,train
406,7,16,train
407,7,17,train
408,7,18,train
409,7,20,train
410,7,21,val
411,7,22,train
412,7,23,train
413,7,24,train
414,7,25,train
415,7,26,train
416,7,27,train
417,7,29,val
418,7,30,train
419,7,31,train
420,7,32,train
421,7,34,train
422,7,36,train
423,7,37,train
424,7,38,train
425,7,39,train
426,7,40,train
427,7,41,train
428,7,42,train
429,7,43,train
430,7,44,test
431,7,47,train
432,7,48,val
433,7,49,train
434,7,50,train
435,7,51,val
436,7,52,train
437,7,54,test
438,7,55,train
439,7,56,train
440,7,57,val
441,7,58,val
442,7,59,train
443,7,60,train
444,7,61,train
445,7,62,train
446,7,63,train
447,7,64,train
448,7,65,train
449,7,66,train
450,7,67,train
451,7,68,test
452,7,69,train
453,7,70,train
454,7,71,train
455,7,72,train
456,7,74,test
457,7,76,train
458,7,77,train
459,8,1,train
460,8,2,train
461,8,3,train
462,8,4,train
463,8,5,train
464,8,6,train
465,8,7,train
466,8,9,train
467,8,10,train
468,8,13,train
469,8,14,train
470,8,15,val
471,8,16,train
472,8,17,test
473,8,18,train
474,8,20,train
475,8,21,train
476,8,22,test
477,8,23,val
478,8,24,train
479,8,25,train
480,8,26,test
481,8,27,train
482,8,29,train
483,8,31,train
484,8,32,train
485,8,34,train
486,8,36,train
487,8,37,train
488,8,38,val
489,8,39,train
490,8,40,test
491,8,41,train
492,8,42,val
493,8,43,train
494,8,44,train
495,8,47,train
496,8,48,train
497,8,49,train
498,8,50,train
499,8,51,train
500,8,52,train
501,8,54,val
502,8,55,train
503,8,56,train
504,8,57,train
505,8,58,train
506,8,59,train
507,8,60,train
508,8,62,train
509,8,63,train
510,8,64,train
511,8,65,train
512,8,66,val
513,8,67,train
514,8,68,train
515,8,69,train
516,8,70,test
517,8,71,val
518,8,72,train
519,8,74,train
520,8,76,train
521,8,77,val
522,9,1,train
523,9,2,train
524,9,3,val
525,9,4,test
526,9,5,train
527,9,6,val
528,9,7,train
529,9,8,train
530,9,9,train
531,9,11,val
532,9,13,train
533,9,14,train
534,9,15,train
535,9,16,train
536,9,17,train
537,9,18,train
538,9,20,val
539,9,21,train
540,9,22,train
541,9,23,train
542,9,24,train
543,9,26,train
544,9,27,train
545,9,29,val
546,9,30,train
547,9,31,train
548,9,34,val
549,9,36,train
550,9,37,train
551,9,38,train
552,9,39,train
553,9,40,train
554,9,41,train
555,9,43,train
556,9,44,train
557,9,47,test
558,9,48,train
559,9,49,test
560,9,50,test
561,9,51,train
562,9,52,train
563,9,54,train
564,9,55,train
565,9,56,train
566,9,57,train
567,9,58,train
568,9,59,train
569,9,61,train
570,9,62,test
571,9,63,train
572,9,64,train
573,9,65,val
574,9,66,train
575,9,67,train
576,9,68,train
577,9,69,test
578,9,70,train
579,9,71,train
580,9,72,train
581,9,74,train
582,9,76,train
583,9,77,train
584,10,1,test
585,10,2,train
586,10,3,train
587,10,4,val
588,10,5,test
589,10,6,train
590,10,7,train
591,10,8,train
592,10,9,train
593,10,10,val
594,10,11,test
595,10,13,train
596,10,14,train
597,10,15,train
598,10,16,train
599,10,17,train
600,10,18,train
601,10,20,train
602,10,21,train
603,10,22,train
604,10,23,train
605,10,24,train
606,10,25,train
607,10,26,val
608,10,27,train
609,10,29,train
610,10,30,train
611,10,31,train
612,10,32,train
613,10,34,train
614,10,36,train
615,10,37,train
616,10,38,train
617,10,39,train
618,10,40,train
619,10,41,train
620,10,42,train
621,10,43,train
622,10,44,train
623,10,47,train
624,10,48,test
625,10,49,train
626,10,50,train
627,10,51,train
628,10,52,train
629,10,54,train
630,10,55,val
631,10,56,train
632,10,57,val
633,10,58,train
634,10,59,train
635,10,60,train
636,10,61,train
637,10,62,train
638,10,63,val
639,10,64,test
640,10,65,test
641,10,66,train
642,10,67,train
643,10,68,train
644,10,69,train
645,10,70,train
646,10,71,train
647,10,72,train
648,10,74,train
649,10,76,train
650,10,77,val
651,11,1,train
652,11,2,train
653,11,3,train
654,11,4,train
655,11,5,train
656,11,6,train
657,11,7,train
658,11,8,val
659,11,9,train
660,11,10,test
661,11,11,val
662,11,13,train
663,11,14,train
664,11,15,train
665,11,16,train
666,11,17,train
667,11,18,train
668,11,20,test
669,11,21,train
670,11,22,val
671,11,23,train
672,11,24,train
673,11,25,train
674,11,26,val
675,11,27,test
676,11,29,train
677,11,30,test
678,11,31,test
679,11,32,train
680,11,34,train
681,11,36,train
682,11,37,train
683,11,38,train
684,11,41,train
685,11,43,train
686,11,44,train
687,11,47,train
688,11,48,train
689,11,49,train
690,11,50,train
691,11,51,test
692,11,52,train
693,11,54,train
694,11,55,train
695,11,56,train
696,11,57,train
697,11,58,train
698,11,59,train
699,11,60,train
700,11,61,train
701,11,62,train
702,11,63,train
703,11,64,val
704,11,65,val
705,11,66,train
706,11,67,train
707,11,68,train
708,11,69,train
709,11,70,train
710,11,71,test
711,11,72,train
712,11,74,train
713,11,76,train
714,11,77,train
715,12,1,train
716,12,2,train
717,12,3,train
718,12,4,train
719,12,5,train
720,12,6,train
721,12,7,train
722,12,8,train
723,12,9,train
724,12,10,train
725,12,11,train
726,12,13,test
727,12,14,train
728,12,15,train
729,12,16,train
730,12,17,train
731,12,18,val
732,12,20,train
733,12,21,train
734,12,22,train
735,12,23,train
736,12,25,train
737,12,26,train
738,12,27,train
739,12,29,test
740,12,30,train
